story,subject,roi,baseline_only,combined_pc1,combined_pc1_to_pc5,gpt2_pc1,gpt2_pc1_to_pc5,delta_combined_pc1_to_pc5_minus_baseline_only,delta_combined_pc1_minus_baseline_only,delta_gpt2_pc1_to_pc5_minus_baseline_only,delta_gpt2_pc1_minus_baseline_only
black,sub-127,Angular Gyrus,-0.0993581369813041,-0.1336277515435904,0.0022984473200731,-0.0899389285662619,-0.1189957635707555,0.1016565843013772,-0.03426961456228632,-0.01963762658945141,0.009419208415042193
black,sub-127,"Cingulate Gyrus, anterior division",-0.0274448582871912,0.0744164592847396,0.1124717737709357,0.1928155624554806,0.1859241453971885,0.1399166320581269,0.1018613175719308,0.2133690036843797,0.2202604207426718
black,sub-127,"Cingulate Gyrus, posterior division",-0.042290765508467,-0.0183247094619747,0.052625510688938,0.0698259787481335,0.0945790411920269,0.094916276197405,0.0239660560464923,0.1368698067004939,0.1121167442566005
black,sub-127,Frontal Pole,-0.0491296443080364,-0.0296520138408259,0.0941286089128606,0.0443925944226119,0.1096505653369662,0.143258253220897,0.019477630467210502,0.1587802096450026,0.0935222387306483
black,sub-127,"Inferior Frontal Gyrus, pars opercularis",-0.0879212115814478,-0.1082016046854613,-0.0392098290343635,0.0093550469716229,-0.0090356763248847,0.048711382547084306,-0.0202803931040135,0.07888553525656311,0.0972762585530707
black,sub-127,"Inferior Frontal Gyrus, pars triangularis",-0.0804580285395694,-0.0530958879920057,0.0263867688420456,0.0781950662843805,0.0601026821297041,0.10684479738161501,0.027362140547563703,0.1405607106692735,0.1586530948239499
black,sub-127,"Middle Temporal Gyrus, anterior division",-0.0605863941785293,-0.1289321894201054,-0.1312912222105267,-0.0395825269394601,-0.1300014730973714,-0.0707048280319974,-0.06834579524157611,-0.0694150789188421,0.021003867239069197
black,sub-127,"Middle Temporal Gyrus, posterior division",-0.0530949525515411,-0.1095577897636258,-0.0451040600627718,-0.0450607668142652,-0.0592610552131605,0.007990892488769295,-0.056462837212084706,-0.006166102661619405,0.0080341857372759
black,sub-127,"Parahippocampal Gyrus, anterior division",0.0097959089299421,-0.0108067739437904,0.118469106736653,-0.0465514935157411,0.1393835534715614,0.10867319780671089,-0.0206026828737325,0.1295876445416193,-0.0563474024456832
black,sub-127,"Parahippocampal Gyrus, posterior division",-0.0500585336762922,-0.0852453281718464,0.0006107187138299,-0.1132987522713628,0.0196285232723836,0.0506692523901221,-0.035186794495554195,0.0696870569486758,-0.06324021859507059
