layer,mean_abs_r,mean_r,n
4,0.1269175856835979,0.004483670167252,6936
1,0.1258309320542764,0.00765993816718,6936
3,0.1257181258103199,0.0045481909153814,6936
5,0.1256300457824157,0.0044011140320191,6936
2,0.1253644467064939,0.0059517488907347,6936
0,0.124617194772137,0.007017530861967,6936
6,0.124495638192771,0.0056685166621798,6936
12,0.1230888222962163,-0.0108865072361271,6936
7,0.1229928719609678,0.0054266831982733,6936
8,0.1227356911777157,0.0057837386662091,6936
11,0.1223834859729634,0.0114956813036641,6936
9,0.121871982378316,0.0080007976334761,6936
10,0.1218401304903728,0.0110369787483166,6936
